iter	MAE
0	1195396.876
1	1170772.876
2	1138385.691
3	1103380.758
4	1073664.998
5	1043542.617
6	1012212.343
7	982007.0793
8	952848.1267
9	927399.3464
10	901968.4183
11	877420.5326
12	853132.0545
13	826890.8792
14	803585.2603
15	780557.888
16	759792.1145
17	739682.3837
18	717202.3784
19	697058.7482
20	676526.5231
21	659621.7458
22	641298.7219
23	627610.5013
24	607423.1456
25	593150.6944
26	578181.9667
27	562191.3586
28	546765.361
29	530858.6954
30	519047.7306
31	505949.4483
32	492983.2044
33	478590.0434
34	463186.9623
35	448581.3503
36	435605.8189
37	423383.7945
38	412054.0021
39	402677.598
40	392950.8406
41	382378.5886
42	371022.627
43	363722.5225
44	355619.3793
45	349333.8536
46	340910.1027
47	332188.7546
48	322360.7645
49	312923.7541
50	307860.9522
51	299957.9501
52	294115.0523
53	285214.2065
54	277259.5143
55	270941.0357
56	265564.1462
57	259298.8246
58	253780.4032
59	247104.0318
60	242400.7857
61	234937.0318
62	227587.5869
63	223664.6193
64	219663.3259
65	213840.8932
66	209571.5669
67	206201.2348
68	200720.8956
69	195096.0932
70	191767.5208
71	189979.5258
72	184219.4825
73	178616.2876
74	174469.42
75	169892.3392
76	164842.5202
77	160624.7309
78	158668.3822
79	155037.1586
80	150751.7713
81	147050.7125
82	145231.2474
83	141544.8164
84	140050.7657
85	137716.767
86	134966.9908
87	132942.1488
88	128864.3473
89	127857.1301
90	124683.1183
91	123782.4505
92	122043.9627
93	120660.1796
94	117808.5849
95	116982.5412
96	114165.5273
97	112586.016
98	109974.2415
99	107088.1779
100	103917.6668
101	101350.3726
102	100043.8646
103	97086.65892
104	95929.20531
105	93472.35145
106	90649.82027
107	88048.46955
108	86667.70609
109	85733.8952
110	83215.72805
111	81971.78389
112	81141.55695
113	80263.01922
114	78042.75694
115	75794.56186
116	74700.71167
117	72529.80388
118	71763.93171
119	70781.55075
120	69805.10489
121	67760.5141
122	65886.99708
123	64519.29925
124	64103.75405
125	63426.14514
126	62540.62397
127	60857.20346
128	58872.6673
129	57331.41799
130	55814.95496
131	55333.7618
132	53839.35976
133	52348.38989
134	51373.24521
135	50059.73184
136	48728.14052
137	47492.25577
138	46250.60985
139	45354.07132
140	44174.02067
141	42992.68283
142	42190.44201
143	41370.95638
144	40588.53542
145	39829.58706
146	39052.3427
147	38206.92085
148	37514.24922
149	36515.63458
150	36113.87301
151	35451.41507
152	34875.31994
153	33938.66892
154	33033.66921
155	32157.77717
156	31306.65031
157	30482.52346
158	30030.83744
159	29425.76292
160	28837.31011
161	28467.85807
162	27916.50848
163	27378.70464
164	26850.8721
165	26360.47523
166	26012.70488
167	25545.01832
168	25228.61402
169	24781.16862
170	24347.14656
171	23909.83087
