iter	Passed	Remaining
0	0	199
1	0	135
2	0	120
3	0	106
4	0	96
5	0	103
6	0	106
7	0	103
8	0	104
9	1	99
10	1	101
11	1	102
12	1	98
13	1	101
14	1	100
15	1	101
16	1	100
17	1	101
18	1	101
19	2	103
20	2	102
21	2	100
22	2	99
23	2	96
24	2	97
25	2	95
26	2	97
27	2	97
28	2	98
29	3	98
30	3	96
31	3	97
32	3	96
33	3	100
34	3	100
35	3	100
36	3	100
37	3	100
38	4	99
39	4	98
40	4	98
41	4	97
42	4	96
43	4	95
44	4	95
45	4	94
46	4	94
47	4	94
48	4	94
49	4	94
50	5	93
51	5	93
52	5	93
53	5	93
54	5	93
55	5	93
56	5	93
57	5	93
58	5	92
59	5	93
60	6	92
61	6	92
62	6	92
63	6	92
64	6	92
65	6	92
66	6	91
67	6	91
68	6	91
69	6	91
70	6	91
71	7	90
72	7	90
73	7	90
74	7	90
75	7	90
76	7	90
77	7	90
78	7	89
79	7	89
80	7	89
81	7	89
82	8	88
83	8	88
84	8	87
85	8	88
86	8	87
87	8	87
88	8	87
89	8	87
90	8	87
91	8	86
92	8	86
93	8	86
94	9	86
95	9	86
96	9	86
97	9	86
98	9	86
99	9	86
100	9	86
101	9	86
102	9	85
103	9	86
104	10	85
105	10	85
106	10	85
107	10	86
108	10	85
109	10	85
110	10	85
111	10	85
112	10	85
113	10	85
114	11	85
115	11	85
116	11	85
117	11	85
118	11	85
119	11	85
120	11	85
121	11	85
122	12	85
123	12	85
124	12	85
125	12	85
126	12	85
127	12	84
128	12	85
129	12	84
130	12	84
131	12	84
132	13	84
133	13	84
134	13	84
135	13	84
136	13	84
137	13	84
138	13	84
139	13	84
140	13	84
141	13	84
142	14	84
143	14	84
144	14	84
145	14	84
146	14	84
147	14	84
148	14	84
149	14	84
150	15	84
151	15	84
152	15	84
153	15	84
154	15	84
155	15	84
156	15	84
157	15	84
158	15	84
159	16	84
160	16	84
161	16	84
162	16	84
163	16	84
164	16	84
165	16	84
166	16	84
167	17	84
168	17	84
169	17	84
170	17	84
171	17	84
172	17	84
173	17	84
174	17	84
175	17	84
176	18	84
177	18	84
178	18	84
179	18	84
180	18	84
181	18	83
182	18	83
183	18	83
184	19	83
185	19	83
186	19	83
187	19	83
188	19	83
189	19	83
190	19	83
191	19	83
192	19	83
193	20	83
194	20	83
195	20	83
196	20	83
197	20	83
198	20	83
199	20	83
200	20	83
201	20	82
202	21	82
203	21	82
204	21	82
205	21	82
206	21	82
207	21	82
208	21	82
209	21	82
210	22	82
211	22	82
212	22	82
213	22	82
214	22	82
215	22	82
216	22	82
217	22	82
218	23	82
219	23	82
220	23	81
221	23	81
222	23	81
223	23	81
224	23	81
225	23	81
226	23	81
227	24	81
228	24	81
229	24	81
230	24	81
231	24	81
232	24	81
233	24	81
234	24	81
235	25	80
236	25	80
237	25	80
238	25	80
239	25	80
240	25	80
241	25	80
242	25	80
243	25	80
244	26	80
245	26	80
246	26	80
247	26	80
248	26	80
249	26	79
250	26	79
251	26	79
252	27	79
253	27	79
254	27	79
255	27	79
256	27	79
257	27	79
258	27	79
259	27	79
260	27	79
261	28	79
262	28	79
263	28	78
264	28	78
265	28	78
266	28	78
267	28	78
268	28	78
269	29	78
270	29	78
271	29	78
272	29	78
273	29	78
274	29	78
275	29	77
276	29	77
277	29	77
278	30	77
279	30	77
280	30	77
281	30	77
282	30	77
283	30	77
284	30	77
285	30	77
286	31	77
287	31	76
288	31	76
289	31	76
290	31	76
291	31	76
292	31	76
293	31	76
294	31	76
295	32	76
296	32	76
297	32	76
298	32	75
299	32	75
300	32	75
301	32	75
302	32	75
303	32	75
304	33	75
305	33	75
306	33	75
307	33	75
308	33	75
309	33	74
310	33	74
311	33	74
312	34	74
313	34	74
314	34	74
315	34	74
316	34	74
317	34	74
318	34	74
319	34	74
320	34	73
321	35	73
322	35	73
323	35	73
324	35	73
325	35	73
326	35	73
327	35	73
328	35	73
329	36	73
330	36	73
331	36	72
