iter	CrossEntropy
0	0.6657006613
1	0.6418498712
2	0.6224737566
3	0.6073614146
4	0.5942344719
5	0.5833672848
6	0.574759415
7	0.5675033317
8	0.5598869525
9	0.5544095725
10	0.548395564
11	0.5435299129
12	0.5403809093
13	0.5375979814
14	0.5342330206
15	0.5318377174
16	0.5292827843
17	0.5274320328
18	0.523934375
19	0.521367792
20	0.5183820822
21	0.5158678219
22	0.5141292235
23	0.5127778377
24	0.5101063435
25	0.5088900971
26	0.5070069481
27	0.5053778802
28	0.5041146238
29	0.5024869099
30	0.5021392419
31	0.5008376866
32	0.4988989736
33	0.4962525499
34	0.4943145931
35	0.4929803524
36	0.4916654456
37	0.490756597
38	0.488360663
39	0.4870424659
40	0.4845368311
41	0.4830652519
42	0.4816720549
43	0.4802741675
44	0.4791267369
45	0.478012228
46	0.4775007866
47	0.4762580725
48	0.4743468563
49	0.472933733
50	0.4721360193
51	0.4706009734
52	0.4693138436
53	0.4679852792
54	0.4666550443
55	0.465131714
56	0.4639528686
57	0.4631316159
58	0.4619080293
59	0.4613683824
60	0.4605143024
61	0.4597404227
62	0.4590125086
63	0.4577534991
64	0.4571308478
65	0.4557334606
66	0.4541491823
67	0.4530431482
68	0.450568849
69	0.4494599238
70	0.4485688724
71	0.4473981659
72	0.4464402426
73	0.4444868064
74	0.4428474498
75	0.4416741092
76	0.4408675615
77	0.4400844171
78	0.4390312155
79	0.4384725053
80	0.436921735
81	0.4363459435
82	0.4348310363
83	0.4342559571
84	0.4334907549
85	0.4328699802
86	0.4321964532
87	0.4313228827
88	0.4295950321
89	0.4288396817
90	0.4281547889
91	0.426285795
92	0.4246615887
93	0.4235324418
94	0.4218616388
95	0.4206400769
96	0.4198216382
97	0.4187080542
98	0.4174360779
99	0.4167275987
100	0.4160598297
101	0.4153418397
102	0.4141899475
103	0.4130909842
104	0.4122734495
105	0.4117699441
106	0.4114806417
107	0.4109523448
108	0.410422714
109	0.4094440145
110	0.4083918759
111	0.4068553832
112	0.4056755201
113	0.4046904495
114	0.4032427793
115	0.4019739032
116	0.4008143322
117	0.3995960996
118	0.3987304241
119	0.3979161466
120	0.3962817234
121	0.3943387784
122	0.3934231868
123	0.3924672748
124	0.3914510268
125	0.3907768877
126	0.3899199925
127	0.3890264012
128	0.3881493099
129	0.3876669351
130	0.3866317598
131	0.3857989436
132	0.3843909213
133	0.383706522
134	0.3831258032
135	0.3827357669
136	0.3814498966
137	0.3805133192
138	0.379879422
139	0.3790807591
140	0.3781084411
141	0.3770532733
142	0.3764015666
143	0.3756869141
144	0.3742575864
145	0.3735556254
146	0.3726388445
147	0.3717304861
148	0.371254201
149	0.3705769215
150	0.3700901338
151	0.3681874686
152	0.3670055884
153	0.3663727135
154	0.365321024
155	0.3644895844
156	0.3635711404
157	0.3628592836
158	0.3623502439
159	0.3616012118
160	0.3612905486
161	0.3601065079
162	0.3595596473
163	0.3590269037
164	0.3581609717
165	0.356896559
166	0.3565620461
167	0.3555712273
168	0.3539694827
169	0.352559272
170	0.3516437347
171	0.3505666422
172	0.3491663523
173	0.3479442642
174	0.3468672969
175	0.3459784708
176	0.3452677813
177	0.3438668433
178	0.3433096617
179	0.3422453112
180	0.3415541687
181	0.3409656453
182	0.3402598364
183	0.339595562
184	0.3390371283
185	0.3385800423
186	0.3378240528
187	0.3368171316
188	0.3356326934
189	0.3342880713
190	0.333330593
191	0.3327909454
192	0.3317723379
193	0.3312704317
194	0.3304056123
195	0.3299703298
196	0.3289858344
197	0.3286356826
198	0.3281380576
199	0.3272307675
200	0.3267772835
201	0.3261269352
202	0.3244868803
203	0.324056184
204	0.323034292
205	0.3225911802
206	0.3214073968
207	0.3205801987
208	0.3203480524
209	0.3197592478
210	0.3193585912
211	0.3184992478
212	0.3178352099
213	0.3171594231
214	0.3162052846
215	0.3159777717
216	0.3155679868
217	0.3150583838
218	0.3147754025
219	0.3143938379
220	0.3139152565
221	0.3128743386
222	0.3123312876
223	0.3114514457
224	0.3110545958
225	0.3101159993
226	0.3096812673
227	0.308873049
228	0.3080419272
229	0.3074383276
230	0.306433311
231	0.3055726113
232	0.3046643907
233	0.3033144825
234	0.3027681124
235	0.3017040278
236	0.3003528211
237	0.2995188263
238	0.299241605
239	0.2990071437
240	0.2982056368
241	0.2972200992
242	0.2965716422
243	0.2960076182
244	0.2950129616
245	0.2941865413
246	0.293742281
247	0.2934165723
248	0.2930279777
249	0.2924910523
250	0.2914247534
251	0.2907264342
252	0.2903553141
253	0.2895769954
254	0.2887917358
255	0.2883381107
256	0.2874789325
257	0.2868370697
258	0.2860490787
259	0.2855677214
260	0.2848336016
261	0.2841042119
262	0.2830867184
263	0.2827036632
264	0.2820246592
265	0.2809436353
266	0.2805042499
267	0.2800183612
268	0.2793582043
269	0.2789785923
270	0.2785343576
271	0.2779509083
272	0.2776683834
273	0.2771638754
274	0.2766655361
275	0.2763953298
276	0.2756467026
277	0.2752084838
278	0.2747298446
279	0.2740405851
280	0.273179963
281	0.2726319662
282	0.2718378223
283	0.2715001597
284	0.2707743562
285	0.2700624347
286	0.2694905803
287	0.2691163936
288	0.268788916
289	0.2682315947
290	0.2676961471
291	0.2671752148
292	0.2664454092
293	0.2658298125
294	0.2654444469
295	0.2646438905
296	0.2634626011
297	0.2628077917
298	0.261690592
299	0.2610155901
300	0.2605674718
301	0.2599866612
302	0.2592638955
303	0.2587544342
304	0.2583066809
305	0.2572551994
306	0.2568054297
307	0.2563363277
308	0.2558397498
