iter	Passed	Remaining
0	9	9939
1	19	9549
2	30	10031
3	39	9874
4	48	9694
5	59	9903
6	68	9783
7	79	9866
8	88	9779
9	98	9774
10	108	9710
11	116	9624
12	126	9627
13	135	9556
14	145	9525
15	153	9468
16	165	9571
17	175	9588
18	187	9660
19	198	9722
20	208	9709
21	217	9670
22	227	9645
23	236	9598
24	245	9587
25	254	9544
26	263	9483
27	272	9461
28	281	9412
29	290	9394
30	299	9363
31	308	9339
32	318	9318
33	327	9300
34	335	9254
35	344	9219
36	353	9207
37	362	9182
38	371	9160
39	380	9133
40	392	9173
41	400	9133
42	410	9139
43	422	9171
44	430	9146
45	439	9115
46	447	9080
47	456	9060
48	465	9030
49	475	9041
50	484	9024
51	493	9005
52	502	8986
53	511	8958
54	520	8949
55	530	8947
56	539	8931
57	548	8905
58	557	8885
59	565	8866
60	574	8846
61	584	8843
62	593	8823
63	603	8821
64	611	8797
65	620	8784
66	628	8755
67	636	8727
68	645	8711
69	654	8701
70	664	8688
71	673	8680
72	684	8688
73	694	8687
74	705	8697
75	714	8682
76	722	8662
77	731	8649
78	740	8628
79	749	8616
80	758	8603
81	767	8593
82	776	8579
83	785	8563
84	793	8543
85	802	8530
86	812	8525
87	822	8520
88	831	8513
89	840	8494
90	848	8479
91	857	8460
92	866	8450
93	875	8442
94	885	8431
95	892	8408
96	901	8395
97	910	8381
98	919	8368
99	928	8356
100	937	8345
101	946	8336
102	955	8324
103	965	8314
104	972	8291
105	983	8290
106	992	8281
107	1000	8265
108	1009	8253
109	1018	8238
110	1026	8224
111	1035	8208
112	1044	8200
113	1053	8185
114	1062	8175
115	1070	8156
116	1079	8144
117	1087	8127
118	1097	8126
119	1105	8110
120	1115	8105
121	1124	8095
122	1133	8080
123	1141	8067
124	1149	8048
125	1161	8055
126	1171	8050
127	1180	8044
128	1189	8032
129	1198	8023
130	1210	8027
131	1218	8014
132	1228	8006
133	1236	7989
134	1246	7989
135	1256	7980
136	1264	7963
137	1273	7955
138	1282	7944
139	1291	7931
140	1300	7919
141	1309	7910
142	1317	7896
143	1327	7891
144	1335	7875
145	1345	7870
146	1354	7861
147	1363	7846
148	1371	7834
149	1380	7825
150	1389	7814
151	1398	7799
152	1407	7790
153	1415	7774
154	1424	7767
155	1433	7756
156	1442	7745
157	1452	7741
158	1461	7730
159	1471	7723
160	1478	7706
161	1488	7697
162	1497	7688
163	1506	7680
164	1515	7666
165	1525	7662
166	1534	7653
167	1542	7640
168	1551	7630
169	1560	7618
170	1570	7611
171	1578	7600
172	1589	7596
173	1597	7585
174	1607	7576
175	1615	7564
176	1624	7553
177	1634	7548
178	1642	7534
179	1652	7527
180	1662	7520
181	1672	7515
182	1680	7503
183	1690	7496
184	1700	7490
185	1707	7473
186	1717	7468
187	1725	7454
188	1736	7451
189	1746	7443
190	1754	7431
191	1763	7420
192	1771	7409
193	1780	7398
194	1789	7386
195	1798	7377
196	1808	7370
197	1817	7360
198	1825	7347
199	1835	7340
200	1843	7329
201	1854	7327
202	1864	7321
203	1873	7309
204	1882	7299
205	1891	7288
206	1900	7282
207	1909	7271
208	1920	7267
209	1930	7262
210	1939	7251
211	1949	7245
212	1958	7234
213	1967	7227
214	1976	7217
215	1987	7213
216	1997	7207
217	2005	7195
218	2015	7186
219	2023	7173
220	2033	7167
221	2044	7164
222	2053	7154
223	2064	7150
224	2072	7137
225	2082	7133
226	2092	7126
227	2100	7113
228	2110	7104
229	2118	7093
230	2129	7088
231	2138	7079
232	2147	7070
233	2157	7063
234	2166	7053
235	2176	7045
236	2184	7034
237	2195	7028
238	2203	7017
239	2213	7010
240	2222	7000
241	2231	6989
242	2240	6980
243	2249	6969
244	2260	6965
245	2268	6954
246	2278	6945
247	2286	6932
248	2296	6925
249	2305	6917
250	2314	6906
251	2324	6898
252	2332	6885
253	2341	6876
254	2350	6866
255	2360	6860
256	2369	6848
257	2379	6844
258	2390	6839
259	2398	6827
260	2408	6818
261	2416	6805
262	2425	6796
263	2433	6785
264	2442	6775
265	2451	6765
266	2460	6755
267	2469	6745
268	2478	6736
269	2488	6728
270	2496	6715
271	2504	6704
272	2514	6695
273	2523	6687
274	2532	6675
275	2541	6666
276	2550	6657
277	2559	6647
278	2568	6637
279	2577	6627
280	2587	6619
281	2595	6607
282	2604	6597
283	2612	6586
284	2621	6577
285	2630	6567
286	2639	6557
287	2649	6551
288	2658	6541
289	2667	6531
290	2676	6520
291	2686	6513
292	2695	6503
293	2704	6493
294	2712	6481
295	2721	6472
296	2730	6463
297	2739	6452
298	2747	6442
299	2757	6433
300	2766	6425
301	2774	6412
302	2784	6405
303	2793	6395
304	2802	6387
305	2810	6374
306	2818	6362
307	2827	6352
308	2835	6340
309	2844	6330
310	2852	6319
311	2860	6308
312	2869	6298
313	2878	6287
314	2886	6275
315	2896	6268
316	2904	6258
317	2914	6251
318	2922	6239
319	2931	6230
320	2940	6219
321	2950	6212
322	2958	6201
323	2967	6190
324	2976	6181
325	2985	6172
326	2994	6163
